,,,Time_s,Time_s,Time_s,Time_s,PeakRSS_MB,PeakRSS_MB,PeakRSS_MB,PeakRSS_MB
Tool,,,BlitzGSEA,GSEApy,PyFgsea,R_fgsea,BlitzGSEA,GSEApy,PyFgsea,R_fgsea
Dataset,Genes,Sets,,,,,,,,
Large,20000,5000,18.004592180252075,189.42145991325378,1.348646879196167,8.415143728256226,611.41015625,5891.078125,68.015625,1620.01953125
Medium,20000,1000,7.059849500656128,22.57224130630493,0.34836316108703613,5.615312099456787,583.4921875,1282.609375,53.65625,1414.46875
Small,12000,200,5.219288349151611,5.055093288421631,0.15512871742248535,6.370843172073364,570.0234375,269.95703125,49.921875,1309.24609375
Threads_4,20000,1000,9.604307174682617,32.99484610557556,0.3502507209777832,6.333920001983643,584.0234375,1282.97265625,53.16015625,1397.703125
