pathway,ES_Py,NES_Py,Pvalue_Py,NES_GSEApy,NES_Blitz,ES_R,NES_R,Pvalue_R,log10P_Py,log10P_R
NEG_PATH_2,-0.6849316988075363,-2.6108103704942605,5.075495585670484e-11,-2.6285820918611242,-5.695199833536965,-0.684931698807536,-2.62435530081175,1.3981438696228401e-10,10.29452154560907,9.85444813719656
NEG_PATH_3,-0.7280243984310437,-2.608798026736145,5.193613061570984e-10,-2.6782301641624615,-5.113003186974245,-0.728024398431044,-2.65059888770347,4.72265401794494e-10,9.284530409632461,9.325813869710442
NEG_PATH_4,-0.6727432473401824,-2.5234163477545835,9.239905334487502e-09,-2.4224692860797776,-5.212673808047387,-0.672743247340183,-2.50888298989432,4.43108417432887e-09,8.034332478230143,8.353489999889552
POS_PATH_5,0.6782520595705849,2.43437489605223,7.550422524054384e-08,2.419660186636016,4.690934914981074,0.678252059570585,2.45813123140507,4.05211226664273e-08,7.122028744432952,7.392318530708595
POS_PATH_7,0.6631396943108545,2.3963273555178484,1.3028180041505603e-07,2.486271739572466,4.6778383010745515,0.663139694310855,2.42162868365363,8.07922043369503e-08,6.8851162483807204,7.092630542403377
POS_PATH_2,0.6819659384827744,2.451151118258958,1.4064512544807183e-07,2.4396586167167413,4.4081870969387005,0.681965938482774,2.43662904800323,6.44990065432016e-08,6.851875315242041,7.190446974607031
POS_PATH_0,0.7309838148631926,2.357632185374115,3.5999391865937614e-07,2.314261653452077,4.200956153204018,0.730983814863193,2.3805398510102,5.05406290282281e-07,6.443704835663222,6.296359357157133
NEG_PATH_1,-0.6228004308205519,-2.272607017153601,1.034897128593843e-06,-2.302604945393336,-4.440923999031967,-0.622800430820552,-2.28047196281833,2.74144655155107e-06,5.985102818037444,5.562020216894385
NEG_PATH_6,-0.6120840560389069,-2.2713264766347163,1.2752457863457037e-06,-2.3357285082468118,-4.516527520111259,-0.612084056038907,-2.27119645922678,1.856024499448e-06,5.8944061027858625,5.731416295409801
NEG_PATH_9,-0.5523344599771058,-2.106972699598539,1.4503516576157543e-05,-2.079452581828585,-4.275542196769254,-0.552334459977106,-2.11347163225632,3.66643656096098e-05,4.8385266843542265,4.4357558250452795
NEG_PATH_5,-0.6121210625864414,-2.125099298042555,1.733347103004194e-05,-2.149241499775537,-3.6573312399189635,-0.612121062586441,-2.14689609901495,6.0691143699333e-05,4.761114461045448,4.216874678333735
POS_PATH_8,0.6094002121119573,2.1353331897909396,2.031602106722404e-05,2.111651570153402,3.6225478241528153,0.609400212111957,2.16985293901379,7.45831031376562e-05,4.692161345490299,4.127359551150036
POS_PATH_3,0.5680050767919895,2.077557284845949,5.6882111723715235e-05,2.116314158963755,3.980629725091092,0.56800507679199,2.08642038707399,6.73963105881726e-05,4.245024288984813,4.171363876981797
POS_PATH_6,0.5690615704212485,2.0433147415960646,7.006211322067368e-05,1.9702161418325956,3.61809996550966,0.569061570421249,2.04973248026098,0.0001311695917022,4.154516767585887,3.88216683330315
POS_PATH_1,0.6089034139013011,2.0193377588829002,0.00016323583472406105,1.9988071022618075,3.3562835041577883,0.608903413901301,2.05966053247665,0.0001582667997202,3.7871844956154734,3.8006101793293308
NEG_PATH_8,-0.6257728131688888,-2.0620830263428296,0.00017139762646026412,-2.116730238022341,-3.468530861022278,-0.625772813168889,-2.10542060617661,0.0001911799131617,3.765995196545535,3.718557739995594
