example_type,gene,pathway,series,pt,value,padj
Monotonic up,HBB,heme Metabolism,expression_raw,0.07805898040533066,0.4302273987897082,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07805898040533066,0.3953501381169311,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07826079428195953,-0.8906077378912123,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07826079428195953,0.3958601467257931,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07829287648200989,1.0949519915999029,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07829287648200989,0.4000123672459107,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07915996760129929,1.128095205598574,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07915996760129929,0.39388975539251586,
Monotonic up,HBB,heme Metabolism,expression_raw,0.07927463203668594,-1.0034234357514096,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.07927463203668594,0.3981086299659627,
Monotonic up,HBB,heme Metabolism,expression_raw,0.08030815422534943,0.6367412745138509,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.08030815422534943,0.40462462924740505,
Monotonic up,HBB,heme Metabolism,expression_raw,0.08096963167190552,0.9276092490478134,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.08096963167190552,0.4087293979757541,
Monotonic up,HBB,heme Metabolism,expression_raw,0.08149691671133041,1.195135410755226,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.08149691671133041,0.41457168083112433,
Monotonic up,HBB,heme Metabolism,expression_raw,0.08305881172418594,0.8913540231490451,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.08305881172418594,0.4159378399737651,
Monotonic up,HBB,heme Metabolism,expression_raw,0.08389296382665634,-0.5852674717086136,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.08389296382665634,0.4156694055251504,
Monotonic up,HBB,heme Metabolism,expression_raw,0.08407337218523026,0.6397625114206774,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.08407337218523026,0.4234140687472405,
Monotonic up,HBB,heme Metabolism,expression_raw,0.08721708506345749,0.9184945970863844,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.08721708506345749,0.42211942655971324,
Monotonic up,HBB,heme Metabolism,expression_raw,0.08754660189151764,0.6871351843855649,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.08754660189151764,0.424361170334932,
Monotonic up,HBB,heme Metabolism,expression_raw,0.09027604013681412,0.9802185283755473,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.09027604013681412,0.4261097869628838,
Monotonic up,HBB,heme Metabolism,expression_raw,0.09130048006772995,0.34596675609110356,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.09130048006772995,0.42029037747953973,
Monotonic up,HBB,heme Metabolism,expression_raw,0.09252718091011047,0.980776583924894,
Monotonic up,HBB,heme Metabolism,expression_smoothed,0.09252718091011047,0.4268701785907811,
Monotonic up,HBB,heme Metabolism,expression_raw,0.09266979992389679,-0.7670882511620779,
