pseudotime,HBB,MKI67
0.0,0.40670079293263717,-0.45287984416388577
0.030778836458921432,0.4112859546236,-0.4511274373289976
0.03562526777386665,0.4133165542580456,-0.46297905322935623
0.04054934158921242,0.4163888666979187,-0.4595275008806752
0.040552668273448944,0.41311550104126493,-0.45140172847784593
0.04213719069957733,0.4065057585566911,-0.43636405641030657
0.043860480189323425,0.4157790293458695,-0.43330057657137366
0.045509353280067444,0.40465487968185576,-0.4446530211615616
0.04716192185878754,0.3895788943946734,-0.4557351694519831
0.04831886664032936,0.39525411000799276,-0.46655656131204176
0.05029779672622681,0.3989264357111566,-0.45966806287848794
0.05416977033019066,0.3733044560335197,-0.4701954814380107
0.05504210293292999,0.38356186197780673,-0.46772165025119095
0.057438213378190994,0.3715136700792656,-0.4524143941970158
0.05822763964533806,0.37439759888848667,-0.4499198083492709
0.059858739376068115,0.3761901274235883,-0.4600916069119929
0.05997040495276451,0.3615006746916283,-0.4452377795018742
0.06023329496383667,0.35816160896183885,-0.4415684037298941
0.060707494616508484,0.3669130837509535,-0.45150441515358636
0.06267852336168289,0.3747213307771011,-0.46123124738941146
0.06430394947528839,0.3713199819014516,-0.4707554372869902
0.06607994437217712,0.37788323819694186,-0.4608516973082368
0.06662911176681519,0.3860468038797504,-0.457418874875267
0.06755504757165909,0.3889581457437883,-0.46669296177104175
0.0699097141623497,0.39566626024530904,-0.46215738787719557
0.07098056375980377,0.40099951954485336,-0.4712009135175894
0.0721331313252449,0.397741828476254,-0.4570552565484533
0.07219108939170837,0.3875900970019753,-0.4659727150048467
0.07233654707670212,0.3947737645478816,-0.47471868387554017
0.07312644273042679,0.3949688447449213,-0.4832980628629824
0.07445211708545685,0.3752638359374571,-0.4917155667751898
0.07455075532197952,0.37816839117824913,-0.49997573416567376
0.07730504870414734,0.3863338930662139,-0.49674291579377405
0.07748361676931381,0.383722439955032,-0.4954230313534667
0.07757601886987686,0.3899306121764587,-0.503424217228044
0.07805898040533066,0.3953501381169311,-0.5112812375913677
0.07826079428195953,0.3958601467257931,-0.49610719874276954
0.07829287648200989,0.4000123672459107,-0.4931103180170376
0.07915996760129929,0.39388975539251586,-0.48011712193798295
0.07927463203668594,0.3981086299659627,-0.4770708076554246
