pattern,pt_mid,latent_signal,NES_current,padj_current,NES_weighted,padj_weighted
monotonic_up,0.1773897192031145,-0.44863869376154714,-2.4169745178781468,3.6831895803614807e-07,-2.421283688999275,3.0201690096217536e-07
monotonic_up,0.19579090248048306,-0.4462753076367696,-2.4139514102885555,1.5099364718234462e-07,-2.418255191577137,3.6123590115083717e-07
monotonic_up,0.2108428089618683,-0.44369859091741876,-2.419997625467738,1.6446464903880854e-07,-2.424312186421413,1.525035836541679e-07
monotonic_up,0.22445784997940063,-0.44060362488251953,-2.4290669482365117,1.6848342235327878e-08,-2.4333976786878266,9.808737855814655e-09
monotonic_up,0.23808298605680467,-0.4367124030856824,-2.4396478248000806,2.2898155301287035e-09,-2.443997419665309,4.498066389931579e-09
monotonic_up,0.25273283180594447,-0.4314495762469896,-2.438136271005285,3.122793282379035e-09,-2.4424831709542403,2.9644696281480736e-08
monotonic_up,0.268777245759964,-0.4243913297699707,-2.438136271005285,4.25428486714612e-09,-2.4424831709542403,1.1928300816033443e-09
monotonic_up,0.2863730906546116,-0.41458414499390633,-2.433601609620898,1.0307221132200583e-08,-2.4379404248210337,1.1454792567617458e-07
monotonic_up,0.3065762624144554,-0.39992971577290976,-2.438136271005285,9.914601392327566e-09,-2.4424831709542403,1.885718304030929e-08
monotonic_up,0.32948115104436876,-0.3786124212227604,-2.4351131634156937,4.312428818523429e-09,-2.4394546735321025,2.1336917439835647e-09
monotonic_up,0.35470009341835973,-0.3498036844241836,-2.4351131634156937,4.413483178654267e-09,-2.4394546735321025,2.067844841484053e-09
monotonic_up,0.38087965828180315,-0.31542971878285725,-2.433601609620898,1.448321059637128e-10,-2.4379404248210337,6.051530270732367e-10
monotonic_up,0.40682503187656405,-0.2778347711005687,-2.424532286852125,6.240853617745209e-09,-2.4288549325546196,7.014477154253086e-08
monotonic_up,0.4314547888636589,-0.23856131033303085,-2.401858979930191,1.809481461337136e-08,-2.4061412018885853,2.3254516652686862e-08
monotonic_up,0.45441700142621994,-0.19884395615740993,-2.3776741192134616,1.3872490539244944e-07,-2.3819132225114816,1.3007658605796674e-07
monotonic_up,0.47523720198869707,-0.15919130934179795,-2.3474430433175497,4.87058159574893e-06,-2.3516282482901025,7.125480482669732e-06
monotonic_up,0.4940602997541428,-0.11995755235561413,-2.2265187397339026,0.00024727804666120124,-2.232002600115654,0.00037000122537453843
monotonic_up,0.5102305881381035,-0.08278282176774447,-2.0556261371179687,0.009779175715128157,-2.060805316807988,0.013259899274750046
monotonic_up,0.5230152608156204,-0.049921072184460485,-1.782344511189186,0.07552578435615095,-1.7915792091655003,0.07295104170764581
monotonic_up,0.5323066254854202,-0.023287572034365146,-0.7792383576790645,0.9108910891089109,-0.7942558831408979,0.9108910891089109
monotonic_up,0.5385711268186569,-0.0036883580944701033,1.1308997592230234,0.6534653465346535,1.1272333186298142,0.6633663366336634
monotonic_up,0.5429300777912139,0.010671559444385553,1.624763782219279,0.3099696108224684,1.6194962067008285,0.43995686697382613
monotonic_up,0.546243482708931,0.02188798884881717,1.9470992248939862,0.1287371324252573,1.9407866197502182,0.12407567024463033
monotonic_up,0.5489685533046722,0.03127395664176665,1.9869639826237042,0.14022250404358907,1.9805221336943692,0.13512350389654948
monotonic_up,0.5513937456607818,0.03971005342902716,2.026197155113988,0.0862538787249224,2.019628110033937,0.08496650740066983
monotonic_up,0.5535187532901764,0.047171827037311855,2.1321751758664775,0.037053350887150796,2.1252625440855666,0.038353468462138544
monotonic_up,0.5553357846736908,0.0536096435176548,2.2170195190141606,0.010773668160734412,2.2098318171032187,0.009944924456062534
monotonic_up,0.5570326327085495,0.059657294854328045,2.167020342509482,0.025275058004836055,2.1599947407394846,0.04833984375
monotonic_up,0.5586598181724548,0.06548413351560402,2.2186735232730865,0.0322265625,2.2114804589873573,0.026851296031368845
monotonic_up,0.5602430657148362,0.07117755759976505,2.288094012482272,0.0322265625,2.280675883068037,0.0322265625
monotonic_up,0.5618001945018768,0.07680212436603283,2.3409783975274445,0.0014870464473097807,2.333388813963984,0.0023474120530849194
monotonic_up,0.563333609342575,0.08236311678109304,2.428785796726989,0.0007182376727858687,2.420911536639209,0.0005220314318403137
monotonic_up,0.5648407248258591,0.08784584795366768,2.4238155665836185,0.0005330215672474782,2.4159574202613663,0.0010011797863075744
monotonic_up,0.5663299572467804,0.09328403994475803,2.4254723099647415,0.0003901498069543397,2.417608792387313,0.0008379439515835134
monotonic_up,0.567819827079773,0.09874099205758896,2.475174611398445,0.00027747371572544016,2.4671499561657417,0.0001387093852175986
monotonic_up,0.569299899339676,0.10417785280475701,2.5232201694510255,4.3864294035208174e-05,2.5150397478182227,6.933388412016776e-05
monotonic_up,0.570752803683281,0.10952814719916233,2.456950434206088,0.00029673365599344146,2.448984862780319,0.0003351991299185172
