window_size,step,runtime_s,PathwayDisplay,pt_mid,NES,padj,window_id
100,20,7.580404758453369,heme Metabolism,0.06611653,-2.9455623257428125,0.3117919921875,0
100,20,7.580404758453369,heme Metabolism,0.104574576,-2.942848849153111,0.2771484375,1
100,20,7.580404758453369,heme Metabolism,0.11859793,-2.857071016313572,0.3079427083333333,2
100,20,7.580404758453369,heme Metabolism,0.13242869,-2.990939395118525,0.2694498697916667,3
100,20,7.580404758453369,heme Metabolism,0.14489448,-2.783125947937402,0.47406969572368424,4
100,20,7.580404758453369,heme Metabolism,0.15605158,-2.710266210445454,0.3849283854166667,5
100,20,7.580404758453369,heme Metabolism,0.16423184,-2.5297663350717308,0.5826416015625,6
100,20,7.580404758453369,heme Metabolism,0.17322993,-2.5076833585971032,0.5463022085336539,7
100,20,7.580404758453369,heme Metabolism,0.17866719,-2.3380754999519904,0.623583984375,8
100,20,7.580404758453369,heme Metabolism,0.18336914,-2.4885975567601,0.52658203125,9
100,20,7.580404758453369,heme Metabolism,0.1901795,-2.4017441412773253,0.60888671875,10
100,20,7.580404758453369,heme Metabolism,0.19620228,-2.54208690029973,0.39079337009281756,11
100,20,7.580404758453369,heme Metabolism,0.20143524,-2.769722298155485,0.303131103515625,12
100,20,7.580404758453369,heme Metabolism,0.20492978,-2.866521439294176,0.28696872886353764,13
100,20,7.580404758453369,heme Metabolism,0.20780075,-2.8093105536204876,0.2917351973684211,14
100,20,7.580404758453369,heme Metabolism,0.21279734,-2.8037047677030498,0.20483220327515667,15
100,20,7.580404758453369,heme Metabolism,0.21873295,-2.862056685350943,0.220458984375,16
100,20,7.580404758453369,heme Metabolism,0.22236389,-2.6357417902945284,0.43970665564903844,17
100,20,7.580404758453369,heme Metabolism,0.22659159,-2.5468411698740336,0.45818894909274194,18
100,20,7.580404758453369,heme Metabolism,0.22965628,-2.60759244203084,0.5287700452302632,19
100,20,7.580404758453369,heme Metabolism,0.23377353,-2.7417050838557993,0.5105365953947368,20
100,20,7.580404758453369,heme Metabolism,0.23808897,-2.5803080447637816,0.512724609375,21
100,20,7.580404758453369,heme Metabolism,0.24258353,-2.5929110772307435,0.5996780501395632,22
100,20,7.580404758453369,heme Metabolism,0.24685548,-2.769652900966842,0.4796799879807692,23
100,20,7.580404758453369,heme Metabolism,0.25205666,-2.439583462306384,0.67554931640625,24
100,20,7.580404758453369,heme Metabolism,0.25887832,-2.4266117429562386,0.5826416015625,25
100,20,7.580404758453369,heme Metabolism,0.26559502,-2.4309212911565545,0.6065476773985744,26
100,20,7.580404758453369,heme Metabolism,0.2720572,-2.4476921172060577,0.4503662109375,27
100,20,7.580404758453369,heme Metabolism,0.27729332,-2.412876460236788,0.60048828125,28
100,20,7.580404758453369,heme Metabolism,0.28596503,-2.5461208877190624,0.4819972826086957,29
100,20,7.580404758453369,heme Metabolism,0.2977579,-2.376063215143271,0.8299632352941176,30
100,20,7.580404758453369,heme Metabolism,0.30656716,-2.1163947708211093,0.8310032894736842,31
100,20,7.580404758453369,heme Metabolism,0.31383458,2.2957899048295416,0.7940340909090909,32
100,20,7.580404758453369,heme Metabolism,0.32158557,2.2602631575764134,0.77947998046875,33
100,20,7.580404758453369,heme Metabolism,0.3331685,2.491743928286293,0.7263513513513513,34
100,20,7.580404758453369,heme Metabolism,0.34695533,2.572781107183787,0.7547345842633929,35
100,20,7.580404758453369,heme Metabolism,0.35560864,2.661819587466463,0.8108836206896551,36
100,20,7.580404758453369,heme Metabolism,0.3651952,3.1024634357714476,0.485009765625,37
100,20,7.580404758453369,heme Metabolism,0.37580773,3.164582384636826,0.808349609375,38
100,20,7.580404758453369,heme Metabolism,0.393542,3.1964963027900684,0.346435546875,39
100,20,7.580404758453369,heme Metabolism,0.4054673,3.199692342614096,0.25982666015625,40
100,20,7.580404758453369,heme Metabolism,0.41765782,2.429784487830828,0.3079427083333333,41
100,20,7.580404758453369,heme Metabolism,0.43123716,-2.705814743854107,0.09898158482142858,42
100,20,7.580404758453369,heme Metabolism,0.4438386,-3.2260905894667946,0.0068796149601099265,43
100,20,7.580404758453369,heme Metabolism,0.46218753,-3.7217979968339323,0.00011408253892221481,44
100,20,7.580404758453369,heme Metabolism,0.47157502,-3.9248342092314425,4.681372530953581e-06,45
100,20,7.580404758453369,heme Metabolism,0.48214176,-3.828943731312163,1.5066300631332048e-06,46
100,20,7.580404758453369,heme Metabolism,0.49189758,-4.104468676742683,2.531073523515547e-08,47
100,20,7.580404758453369,heme Metabolism,0.5013875,-4.218904035493673,6.6547124210114794e-09,48
100,20,7.580404758453369,heme Metabolism,0.5098064,-3.951818682495225,9.322155334154283e-07,49
100,20,7.580404758453369,heme Metabolism,0.5157938,-4.3534997497882175,2.0739855219795882e-10,50
100,20,7.580404758453369,heme Metabolism,0.5206363,-4.384061728868783,1.2069916164339172e-09,51
100,20,7.580404758453369,heme Metabolism,0.5243708,-3.8741586529609533,1.527850204867475e-06,52
100,20,7.580404758453369,heme Metabolism,0.5275502,-3.7131634326165566,3.231381733615273e-05,53
100,20,7.580404758453369,heme Metabolism,0.5301335,-3.7509696262222145,1.6972914156363054e-05,54
100,20,7.580404758453369,heme Metabolism,0.532873,-3.6752230067244955,3.943066520262174e-05,55
100,20,7.580404758453369,heme Metabolism,0.5348406,-3.965344379320506,1.2095480788534178e-06,56
