Pathway,ES,NES,P-value,log2err,Size,n_levels,padj,pval_capped,mode,window_start,window_cells,pt_mid
E2F Targets,-0.6899902479512118,-3.180314676818998,4.63491283654824e-08,0.09950371902099892,56,,9.965062598578716e-07,False,Terminal truncation audit,750,500,0.4428880512714386
heme Metabolism,-0.5912707304748342,-3.579204633075459,3.652936196811698e-06,0.09950371902099892,75,,5.235875215430101e-05,False,Terminal truncation audit,750,500,0.4428880512714386
E2F Targets,-0.7996498760959657,-3.685759682569187,2.7076563573524812e-15,0.09950371902099892,56,,1.164292233661567e-13,False,Terminal truncation audit,800,500,0.45909422636032104
heme Metabolism,-0.6889558586482966,-4.170532844198379,4.1087345217332487e-11,0.09950371902099892,75,,5.889186147817657e-10,False,Terminal truncation audit,800,500,0.45909422636032104
E2F Targets,-0.8158317641720907,-3.760345513745719,2.323542389908501e-14,0.09950371902099892,56,,4.995616138303277e-13,False,Terminal truncation audit,850,500,0.4753958731889725
heme Metabolism,-0.7397261076866449,-4.477866018689394,2.4331548210331705e-12,0.09950371902099892,75,,3.487521910147545e-11,False,Terminal truncation audit,850,500,0.4753958731889725
E2F Targets,-0.8031848233611819,-3.7020530210659697,1.2686865161327724e-12,0.09950371902099892,56,,3.5822915272711194e-11,False,Terminal truncation audit,900,500,0.4949343651533127
heme Metabolism,-0.7504178931387561,-4.542587788352019,7.364489725458902e-12,0.09950371902099892,75,,1.0555768606491093e-10,False,Terminal truncation audit,900,500,0.4949343651533127
heme Metabolism,-0.7666292284475756,-4.640721660798351,2.9854374050912074e-12,0.09950371902099892,75,,1.2837380841892192e-10,False,Terminal truncation audit,950,500,0.5151735097169876
E2F Targets,-0.7307998232125636,-3.368414858732879,1.0807467534430783e-07,0.09950371902099892,56,,1.5490703466017457e-06,False,Terminal truncation audit,950,500,0.5151735097169876
heme Metabolism,-0.7679755208258613,-4.648871321638089,2.036444795864719e-12,0.09950371902099892,75,,8.756712622218292e-11,False,Terminal truncation audit,1000,500,0.5286438167095184
E2F Targets,-0.7310575327586156,-3.369602697914808,3.737092767763029e-08,0.09950371902099892,56,,5.356499633793675e-07,False,Terminal truncation audit,1000,500,0.5286438167095184
heme Metabolism,-0.7765829548614352,-4.700975655898432,1.0416584027195395e-12,0.09950371902099892,75,,4.47913113169402e-11,False,Terminal truncation audit,1050,500,0.5367359519004822
E2F Targets,-0.7289423600893075,-3.359853408407918,9.771135031129203e-08,0.09950371902099892,56,,1.4005293544618523e-06,False,Terminal truncation audit,1050,500,0.5367359519004822
heme Metabolism,-0.7504774438620435,-4.542948273344271,1.4199698045313395e-10,0.09950371902099892,75,,6.10587015948476e-09,False,Terminal truncation audit,1100,500,0.5427502393722534
E2F Targets,-0.7374094042957009,-3.3988798512291396,1.0067230032072511e-07,0.09950371902099892,56,,1.2413782914548237e-06,False,Terminal truncation audit,1100,500,0.5427502393722534
heme Metabolism,-0.7396357238997329,-4.477318888496409,6.691699890812218e-10,0.09950371902099892,75,,2.8774309530492535e-08,False,Terminal truncation audit,1150,500,0.5461302995681763
E2F Targets,-0.7354527380114146,-3.389861152022839,1.7005142309077508e-07,0.09950371902099892,56,,2.437403730967776e-06,False,Terminal truncation audit,1150,500,0.5461302995681763
heme Metabolism,-0.7281576389730071,-4.407837325092149,2.012369589531835e-09,0.09950371902099892,75,,4.326594617493445e-08,False,Terminal truncation audit,1200,500,0.5489873886108398
E2F Targets,-0.7238151744104699,-3.336221097786716,3.658002721861403e-07,0.09950371902099892,56,,5.243137234668011e-06,False,Terminal truncation audit,1200,500,0.5489873886108398
heme Metabolism,-0.7478461539430897,-4.527019994497589,1.563562256674958e-10,0.09950371902099892,75,,6.723317703702319e-09,False,Terminal truncation audit,1250,500,0.5523034036159515
E2F Targets,-0.7089375282775767,-3.2676468005506987,6.669337050938098e-07,0.09950371902099892,56,,9.559383106344608e-06,False,Terminal truncation audit,1250,500,0.5523034036159515
heme Metabolism,-0.731761132442223,-4.429650751422109,7.311301732554089e-10,0.09950371902099892,75,,3.143859744998258e-08,False,Terminal truncation audit,1300,500,0.5546554028987885
