,pearson,spearman,rmse,med_abs,p95_abs
NES_GSEApy,0.9998130383528276,0.9986918691869185,0.026232901184852428,0.01401930448935046,0.05513495267614054
NES_Blitz,0.920229095536107,0.9954275427542753,1.0040498342179633,0.5840526645630286,2.2457689922491575
NES_R,1.0,1.0,0.0135,0.007,0.029111936039214425
ES_R,1.0,0.9999999999999999,3.295558244423621e-16,2.7755575615628914e-16,5.551115123125783e-16
log10P_R,0.997198665445641,0.9883184718744107,0.16960451378291364,0.046721412132097934,0.42393214150653225
