level	axis	protein_name	left_out_unit	n_units_remaining	spearman_refit	direction_preserved
guide	immune_evasion_antigen_presentation	HLA_A	CCND2_3	740	0.5648436173185123	True
guide	immune_evasion_antigen_presentation	HLA_A	CCR10_1	740	0.5647094394334619	True
guide	immune_evasion_antigen_presentation	HLA_A	CCR10_2	740	0.5667474863116199	True
guide	immune_evasion_antigen_presentation	HLA_A	CCR10_3	740	0.5650160555936498	True
guide	immune_evasion_antigen_presentation	HLA_A	CCT3_2	740	0.5638039534058336	True
guide	immune_evasion_antigen_presentation	HLA_A	CCT3_3	740	0.5643135983852458	True
guide	immune_evasion_antigen_presentation	HLA_A	CD151_1	740	0.5645661406504651	True
guide	immune_evasion_antigen_presentation	HLA_A	CD151_2	740	0.5657642061317013	True
guide	immune_evasion_antigen_presentation	HLA_A	CD151_3	740	0.5648352071398863	True
guide	immune_evasion_antigen_presentation	HLA_A	CD274_1	740	0.5652453514144277	True
guide	immune_evasion_antigen_presentation	HLA_A	CD274_2	740	0.5649964219724208	True
guide	immune_evasion_antigen_presentation	HLA_A	CD274_3	740	0.5640811043275256	True
guide	immune_evasion_antigen_presentation	HLA_A	CD44_1	740	0.5639800045041837	True
guide	immune_evasion_antigen_presentation	HLA_A	CD44_2	740	0.5634679016204549	True
guide	immune_evasion_antigen_presentation	HLA_A	CD44_3	740	0.5653804769252386	True
guide	immune_evasion_antigen_presentation	HLA_A	CD47_1	740	0.5661073651102851	True
guide	immune_evasion_antigen_presentation	HLA_A	CD47_2	740	0.564508305865759	True
guide	immune_evasion_antigen_presentation	HLA_A	CD47_3	740	0.5649279263979071	True
guide	immune_evasion_antigen_presentation	HLA_A	CD58_1	740	0.5645336844681621	True
guide	immune_evasion_antigen_presentation	HLA_A	CD58_2	740	0.5644718815005831	True
guide	immune_evasion_antigen_presentation	HLA_A	CD58_3	740	0.565047238403837	True
guide	immune_evasion_antigen_presentation	HLA_A	CD59_1	740	0.5648701508398112	True
guide	immune_evasion_antigen_presentation	HLA_A	CD59_2	740	0.5651814162888873	True
guide	immune_evasion_antigen_presentation	HLA_A	CD59_3	740	0.5653916411412316	True
guide	immune_evasion_antigen_presentation	HLA_A	CD63_1	740	0.5641222075948947	True
guide	immune_evasion_antigen_presentation	HLA_A	CD63_2	740	0.5651975259268187	True
guide	immune_evasion_antigen_presentation	HLA_A	CD63_3	740	0.5653305785062782	True
guide	immune_evasion_antigen_presentation	HLA_A	CDC123_2	740	0.56510788645252	True
guide	immune_evasion_antigen_presentation	HLA_A	CDH19_1	740	0.5644905378827464	True
guide	immune_evasion_antigen_presentation	HLA_A	CDH19_2	740	0.565192254758525	True
guide	immune_evasion_antigen_presentation	HLA_A	CDH19_3	740	0.5658822743788202	True
guide	immune_evasion_antigen_presentation	HLA_A	CDK4_1	740	0.5652207723712602	True
guide	immune_evasion_antigen_presentation	HLA_A	CDK4_2	740	0.5645901866541422	True
guide	immune_evasion_antigen_presentation	HLA_A	CDK4_3	740	0.5655028094882806	True
guide	immune_evasion_antigen_presentation	HLA_A	CDK6_1	740	0.5638738408056833	True
guide	immune_evasion_antigen_presentation	HLA_A	CDK6_2	740	0.5691807819718937	True
guide	immune_evasion_antigen_presentation	HLA_A	CDK6_3	740	0.5635648851943987	True
guide	immune_evasion_antigen_presentation	HLA_A	CDKN1A_1	740	0.5659052246902114	True
guide	immune_evasion_antigen_presentation	HLA_A	CDKN1A_2	740	0.5651234334376561	True
